feature,importance
sensor_11_slope,0.28597449908925154
sensor_15_mean,0.061930783242258015
sensor_9_std,0.05464480874316961
sensor_13_slope,0.04371584699453623
sensor_9_max,0.038251366120219524
sensor_14_std,0.038251366120218996
sensor_9_slope,0.038251366120218996
sensor_17_mean,0.034608378870674
sensor_11_mean,0.0327868852459023
sensor_14_max,0.0327868852459023
sensor_4_mean,0.025500910746812308
sensor_11_last,0.023679417122040608
sensor_11_std,0.023679417122040077
sensor_11_max,0.021857923497267846
sensor_2_slope,0.01821493624772285
sensor_3_max,0.012750455373406687
sensor_9_min,0.012750455373405623
sensor_9_delta,0.012750455373405623
sensor_14_mean,0.012750455373405623
sensor_11_min,0.010928961748633923
sensor_17_max,0.01092896174863339
sensor_15_min,0.01092896174863339
sensor_7_std,0.009107468123862223
sensor_15_slope,0.009107468123862223
sensor_20_max,0.009107468123861692
sensor_7_slope,0.007285974499089991
sensor_8_slope,0.007285974499089459
sensor_9_mean,0.007285974499088926
sensor_14_last,0.007285974499088926
sensor_8_last,0.007285974499088926
sensor_3_slope,0.005464480874317228
sensor_4_last,0.005464480874317228
sensor_15_std,0.005464480874316695
sensor_12_last,0.005464480874316695
sensor_3_mean,0.005464480874316695
sensor_13_mean,0.005464480874316695
sensor_8_std,0.0036429872495449957
sensor_2_max,0.0036429872495449957
sensor_13_min,0.003642987249544463
sensor_7_delta,0.003642987249544463
sensor_15_delta,0.003642987249544463
sensor_14_min,0.003642987249544463
sensor_7_max,0.003642987249544463
sensor_21_delta,0.003642987249544463
sensor_2_last,0.003642987249544463
sensor_3_last,0.0018214936247722315
sensor_4_delta,0.0018214936247722315
sensor_3_std,0.0018214936247722315
sensor_20_min,0.0018214936247722315
sensor_4_min,0.0018214936247722315
sensor_12_delta,0.0018214936247722315
sensor_13_std,0.0018214936247722315
sensor_2_delta,0.0
sensor_1_delta,0.0
sensor_1_slope,0.0
sensor_3_min,0.0
sensor_2_mean,0.0
sensor_2_std,0.0
sensor_2_min,0.0
sensor_1_max,0.0
sensor_1_mean,0.0
sensor_1_std,0.0
sensor_1_min,0.0
sensor_1_last,0.0
sensor_6_min,0.0
sensor_6_mean,0.0
sensor_5_min,0.0
sensor_8_mean,0.0
sensor_7_last,0.0
sensor_7_min,0.0
sensor_6_max,0.0
sensor_6_slope,0.0
sensor_6_delta,0.0
sensor_6_last,0.0
sensor_7_mean,0.0
sensor_6_std,0.0
sensor_5_last,0.0
sensor_5_std,0.0
sensor_5_mean,0.0
sensor_4_slope,0.0
sensor_4_std,0.0
sensor_4_max,0.0
sensor_3_delta,0.0
sensor_12_slope,0.0
sensor_12_max,0.0
sensor_12_min,0.0
sensor_12_std,0.0
sensor_11_delta,0.0
sensor_12_mean,0.0
sensor_10_slope,0.0
sensor_10_delta,0.0
sensor_10_last,0.0
sensor_8_min,0.0
sensor_8_delta,0.0
sensor_9_last,0.0
sensor_10_mean,0.0
sensor_10_std,0.0
sensor_10_min,0.0
sensor_10_max,0.0
sensor_8_max,0.0
sensor_5_delta,0.0
sensor_5_slope,0.0
sensor_5_max,0.0
sensor_14_slope,0.0
sensor_14_delta,0.0
sensor_13_delta,0.0
sensor_13_last,0.0
sensor_16_std,0.0
sensor_16_min,0.0
sensor_16_slope,0.0
sensor_16_max,0.0
sensor_13_max,0.0
sensor_15_max,0.0
sensor_16_mean,0.0
sensor_15_last,0.0
sensor_17_min,0.0
sensor_17_std,0.0
sensor_16_last,0.0
sensor_16_delta,0.0
sensor_18_mean,0.0
sensor_17_slope,0.0
sensor_17_delta,0.0
sensor_17_last,0.0
sensor_18_slope,0.0
sensor_18_delta,0.0
sensor_18_last,0.0
sensor_19_mean,0.0
sensor_19_std,0.0
sensor_18_std,0.0
sensor_18_min,0.0
sensor_18_max,0.0
sensor_19_slope,0.0
sensor_19_max,0.0
sensor_19_min,0.0
sensor_19_delta,0.0
sensor_20_std,0.0
sensor_20_mean,0.0
sensor_20_slope,0.0
sensor_19_last,0.0
sensor_20_delta,0.0
sensor_20_last,0.0
sensor_21_std,0.0
sensor_21_mean,0.0
sensor_21_min,0.0
sensor_21_max,0.0
sensor_21_slope,0.0
sensor_21_last,0.0
