machine_id,alert_cycle,failure_cycle,first_alert_cycle,actual_failure_cycle,lead_time,caught,false_alarm,max_risk,threshold,status
8,123,150,123.0,150.0,27.0,True,False,0.996661365032196,0.5,CAUGHT
9,169,201,169.0,201.0,32.0,True,False,0.996200680732727,0.5,CAUGHT
13,137,163,137.0,163.0,26.0,True,False,0.9966976642608643,0.5,CAUGHT
18,163,195,163.0,195.0,32.0,True,False,0.9963804483413696,0.5,CAUGHT
37,143,170,143.0,170.0,27.0,True,False,0.9965410232543945,0.5,CAUGHT
46,218,256,218.0,256.0,38.0,True,False,0.996688723564148,0.5,CAUGHT
48,190,231,190.0,231.0,41.0,True,False,0.9962500333786011,0.5,CAUGHT
50,163,198,163.0,198.0,35.0,True,False,0.9966832399368286,0.5,CAUGHT
55,162,193,162.0,193.0,31.0,True,False,0.9965482950210571,0.5,CAUGHT
62,147,180,147.0,180.0,33.0,True,False,0.99660724401474,0.5,CAUGHT
64,223,283,223.0,283.0,60.0,True,False,0.9968777298927307,0.5,CAUGHT
69,316,362,316.0,362.0,46.0,True,False,0.9967740178108215,0.5,CAUGHT
72,168,213,168.0,213.0,45.0,True,False,0.9963844418525696,0.5,CAUGHT
74,140,166,140.0,166.0,26.0,True,False,0.9966167211532593,0.5,CAUGHT
76,167,210,167.0,210.0,43.0,True,False,0.996715784072876,0.5,CAUGHT
84,210,267,210.0,267.0,57.0,True,False,0.9968076348304749,0.5,CAUGHT
85,159,188,159.0,188.0,29.0,True,False,0.9966473579406738,0.5,CAUGHT
87,151,178,151.0,178.0,27.0,True,False,0.9966309666633606,0.5,CAUGHT
90,131,154,131.0,154.0,23.0,True,False,0.996225893497467,0.5,CAUGHT
95,242,283,242.0,283.0,41.0,True,False,0.996621310710907,0.5,CAUGHT
