threshold,precision,recall,f1,false_alarm_rate,mean_lead_time,machines_caught,machines_missed
0.1,1.0,0.76,0.8636,0.0,49.0,1,0
0.15,1.0,0.74,0.8506,0.0,49.0,1,0
0.2,1.0,0.68,0.8095,0.0,49.0,1,0
0.25,1.0,0.66,0.7952,0.0,49.0,1,0
0.3,1.0,0.6,0.75,0.0,49.0,1,0
0.35,1.0,0.56,0.7179,0.0,49.0,1,0
0.4,1.0,0.5,0.6667,0.0,49.0,1,0
0.45,1.0,0.48,0.6486,0.0,49.0,1,0
0.5,1.0,0.4,0.5714,0.0,49.0,1,0
0.55,1.0,0.4,0.5714,0.0,49.0,1,0
0.6,1.0,0.36,0.5294,0.0,49.0,1,0
0.65,1.0,0.36,0.5294,0.0,49.0,1,0
0.7,1.0,0.32,0.4848,0.0,49.0,1,0
0.75,1.0,0.28,0.4375,0.0,49.0,1,0
0.8,1.0,0.28,0.4375,0.0,49.0,1,0
0.85,1.0,0.24,0.3871,0.0,49.0,1,0
0.9,1.0,0.14,0.2456,0.0,49.0,1,0
